num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
25 	0.1996041883  	0.1996041883 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
39 	0.2003202177  	0.2003202177 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
824 	0.2010067159  	0.2010067159 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1562 	0.2011136107  	0.2011136107 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1051 	0.2016554456  	0.2016554456 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1810 	0.2020043111  	0.2020043111 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
831 	0.2022620358  	0.2022620358 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1031 	0.2023614402  	0.2023614402 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1808 	0.2028619436  	0.2028619436 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1097 	0.2034750062  	0.2034750062 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
825 	0.203478369  	0.203478369 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
47 	0.2035480082  	0.2035480082 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1312 	0.2037924173  	0.2037924173 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1920 	0.2039407995  	0.2039407995 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
408 	0.2047232003  	0.2047232003 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
859 	0.2048616537  	0.2048616537 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1906 	0.2049053046  	0.2049053046 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
782 	0.2048992305  	0.2048992305 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1838 	0.2052257287  	0.2052257287 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
262 	0.2052162453  	0.2052162453 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
176 	0.2058199265  	0.2058199265 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1985 	0.2058787439  	0.2058787439 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1377 	0.2057743131  	0.2057743131 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
473 	0.2059486408  	0.2059486408 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1553 	0.2064043704  	0.2064043704 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1778 	0.2076343102  	0.2076343102 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1415 	0.206396867  	0.206396867 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
614 	0.2076318217  	0.2076318217 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
1542 	0.2075014125  	0.2075014125 	466.826 mV             	3.18282 mA      	632.478 mV        	2.68909 mA   
