num 	nn0 	nn0 	degrad_value 
211 	0.2347434421 	0.2347434421 	2.880e-01 	
274 	0.2348181288 	0.2348181288 	2.879e-01 	
1615 	0.2348534084 	0.2348534084 	2.878e-01 	
1396 	0.2349370721 	0.2349370721 	2.877e-01 	
1565 	0.2350060776 	0.2350060776 	2.876e-01 	
1470 	0.2351295518 	0.2351295518 	2.874e-01 	
1360 	0.2354585146 	0.2354585146 	2.869e-01 	
790 	0.235266148 	0.235266148 	2.872e-01 	
1889 	0.2356505339 	0.2356505339 	2.866e-01 	
934 	0.2356721493 	0.2356721493 	2.866e-01 	
943 	0.2360580715 	0.2360580715 	2.860e-01 	
1983 	0.2361065025 	0.2361065025 	2.859e-01 	
430 	0.2358634007 	0.2358634007 	2.863e-01 	
140 	0.2365543961 	0.2365543961 	2.852e-01 	
347 	0.237432672 	0.237432672 	2.839e-01 	
1006 	0.2367886876 	0.2367886876 	2.849e-01 	
1750 	0.2373336173 	0.2373336173 	2.840e-01 	
1958 	0.2374621463 	0.2374621463 	2.839e-01 	
64 	0.2377053105 	0.2377053105 	2.835e-01 	
1141 	0.2362307992 	0.2362307992 	2.857e-01 	
1123 	0.236551415 	0.236551415 	2.852e-01 	
685 	0.2364909548 	0.2364909548 	2.853e-01 	
1620 	0.2365344366 	0.2365344366 	2.853e-01 	
912 	0.2376454283 	0.2376454283 	2.836e-01 	
740 	0.2363673197 	0.2363673197 	2.855e-01 	
1311 	0.2363652049 	0.2363652049 	2.855e-01 	
1982 	0.2367814015 	0.2367814015 	2.849e-01 	
705 	0.2377994769 	0.2377994769 	2.833e-01 	
920 	0.2380516987 	0.2380516987 	2.830e-01 	
1007 	0.2385141432 	0.2385141432 	2.823e-01 	
777 	0.238723917 	0.238723917 	2.820e-01 	
425 	0.2388267573 	0.2388267573 	2.818e-01 	
1592 	0.238895023 	0.238895023 	2.817e-01 	
1703 	0.2392484123 	0.2392484123 	2.812e-01 	
1202 	0.2393734399 	0.2393734399 	2.810e-01 	
1340 	0.2394476088 	0.2394476088 	2.809e-01 	
1246 	0.2393020218 	0.2393020218 	2.811e-01 	
356 	0.2399990828 	0.2399990828 	2.801e-01 	
795 	0.2392055384 	0.2392055384 	2.812e-01 	
804 	0.2403732411 	0.2403732411 	2.795e-01 	
1916 	0.2401145459 	0.2401145459 	2.799e-01 	
1859 	0.2404368804 	0.2404368804 	2.794e-01 	
386 	0.240792945 	0.240792945 	2.789e-01 	
422 	0.2411107513 	0.2411107513 	2.784e-01 	
453 	0.2412048412 	0.2412048412 	2.783e-01 	
983 	0.2412977347 	0.2412977347 	2.781e-01 	
1437 	0.241473085 	0.241473085 	2.779e-01 	
1941 	0.2416415589 	0.2416415589 	2.776e-01 	
458 	0.241559554 	0.241559554 	2.778e-01 	
1398 	0.2420180571 	0.2420180571 	2.771e-01 	
283 	0.2424450286 	0.2424450286 	2.765e-01 	
1402 	0.2422250458 	0.2422250458 	2.768e-01 	
1803 	0.2422435535 	0.2422435535 	2.767e-01 	
214 	0.2428149876 	0.2428149876 	2.759e-01 	
1493 	0.243392442 	0.243392442 	2.751e-01 	
1634 	0.2426138932 	0.2426138932 	2.762e-01 	
96 	0.2438403456 	0.2438403456 	2.744e-01 	
1255 	0.2439362433 	0.2439362433 	2.743e-01 	
1211 	0.2426923513 	0.2426923513 	2.761e-01 	
817 	0.2439705128 	0.2439705128 	2.742e-01 	
1210 	0.244027599 	0.244027599 	2.741e-01 	
300 	0.2441703142 	0.2441703142 	2.739e-01 	
1479 	0.2441730174 	0.2441730174 	2.739e-01 	
56 	0.2445711289 	0.2445711289 	2.734e-01 	
942 	0.2447900967 	0.2447900967 	2.730e-01 	
508 	0.2448828791 	0.2448828791 	2.729e-01 	
1802 	0.244945755 	0.244945755 	2.728e-01 	
1285 	0.2450328751 	0.2450328751 	2.727e-01 	
1819 	0.2455068094 	0.2455068094 	2.720e-01 	
710 	0.2454976803 	0.2454976803 	2.720e-01 	
713 	0.2456215838 	0.2456215838 	2.718e-01 	
1213 	0.2463686225 	0.2463686225 	2.708e-01 	
450 	0.2455530362 	0.2455530362 	2.719e-01 	
1205 	0.2455730904 	0.2455730904 	2.719e-01 	
1526 	0.246058815 	0.246058815 	2.712e-01 	
1355 	0.2455792857 	0.2455792857 	2.719e-01 	
971 	0.2462921869 	0.2462921869 	2.709e-01 	
901 	0.2453279645 	0.2453279645 	2.723e-01 	
266 	0.245187622 	0.245187622 	2.725e-01 	
1177 	0.2465518925 	0.2465518925 	2.705e-01 	
1864 	0.2467137757 	0.2467137757 	2.703e-01 	
1209 	0.246523138 	0.246523138 	2.705e-01 	
76 	0.2467349498 	0.2467349498 	2.702e-01 	
17 	0.2463782741 	0.2463782741 	2.707e-01 	
945 	0.2468386159 	0.2468386159 	2.701e-01 	
718 	0.2468283665 	0.2468283665 	2.701e-01 	
876 	0.2470010313 	0.2470010313 	2.699e-01 	
1187 	0.2477308127 	0.2477308127 	2.688e-01 	
1191 	0.2470594703 	0.2470594703 	2.698e-01 	
143 	0.2471268317 	0.2471268317 	2.697e-01 	
832 	0.2464290001 	0.2464290001 	2.707e-01 	
1368 	0.2469838968 	0.2469838968 	2.699e-01 	
1217 	0.2473952727 	0.2473952727 	2.693e-01 	
1992 	0.247738652 	0.247738652 	2.688e-01 	
1974 	0.2477424906 	0.2477424906 	2.688e-01 	
1977 	0.2477927037 	0.2477927037 	2.687e-01 	
1584 	0.2481689944 	0.2481689944 	2.682e-01 	
1676 	0.2484826249 	0.2484826249 	2.677e-01 	
787 	0.2487011941 	0.2487011941 	2.674e-01 	
215 	0.2485804856 	0.2485804856 	2.676e-01 	
629 	0.2496692149 	0.2496692149 	2.661e-01 	
858 	0.2497862756 	0.2497862756 	2.659e-01 	
812 	0.2479350445 	0.2479350445 	2.685e-01 	
68 	0.2477725895 	0.2477725895 	2.688e-01 	
1635 	0.2498426304 	0.2498426304 	2.658e-01 	
417 	0.2498463416 	0.2498463416 	2.658e-01 	
840 	0.2501651454 	0.2501651454 	2.654e-01 	
1105 	0.2509401633 	0.2509401633 	2.643e-01 	
1346 	0.2504359165 	0.2504359165 	2.650e-01 	
1969 	0.2513851151 	0.2513851151 	2.637e-01 	
1256 	0.2499217752 	0.2499217752 	2.657e-01 	
1266 	0.2510913213 	0.2510913213 	2.641e-01 	
1233 	0.2513896411 	0.2513896411 	2.636e-01 	
40 	0.2514123282 	0.2514123282 	2.636e-01 	
674 	0.2516572013 	0.2516572013 	2.633e-01 	
1545 	0.2519839398 	0.2519839398 	2.628e-01 	
675 	0.25205632 	0.25205632 	2.627e-01 	
377 	0.2521419957 	0.2521419957 	2.626e-01 	
9 	0.251486437 	0.251486437 	2.635e-01 	
635 	0.2523615455 	0.2523615455 	2.623e-01 	
148 	0.2522148614 	0.2522148614 	2.625e-01 	
1684 	0.2525324082 	0.2525324082 	2.621e-01 	
769 	0.2525103432 	0.2525103432 	2.621e-01 	
746 	0.2524168216 	0.2524168216 	2.622e-01 	
1133 	0.2528229314 	0.2528229314 	2.616e-01 	
168 	0.2528510045 	0.2528510045 	2.616e-01 	
1131 	0.2529387611 	0.2529387611 	2.615e-01 	
1501 	0.252921308 	0.252921308 	2.615e-01 	
1108 	0.2525736029 	0.2525736029 	2.620e-01 	
1324 	0.2529694385 	0.2529694385 	2.614e-01 	
1408 	0.2531218851 	0.2531218851 	2.612e-01 	
621 	0.2531906365 	0.2531906365 	2.611e-01 	
292 	0.2532834047 	0.2532834047 	2.610e-01 	
627 	0.2534243405 	0.2534243405 	2.608e-01 	
677 	0.2535291546 	0.2535291546 	2.607e-01 	
752 	0.2535424107 	0.2535424107 	2.607e-01 	
1072 	0.2537974344 	0.2537974344 	2.603e-01 	
1628 	0.2539017663 	0.2539017663 	2.602e-01 	
965 	0.2539070676 	0.2539070676 	2.601e-01 	
1303 	0.2543304723 	0.2543304723 	2.596e-01 	
201 	0.2543733256 	0.2543733256 	2.595e-01 	
1238 	0.2544616402 	0.2544616402 	2.594e-01 	
690 	0.2545123562 	0.2545123562 	2.593e-01 	
791 	0.2552338349 	0.2552338349 	2.583e-01 	
732 	0.255385634 	0.255385634 	2.581e-01 	
469 	0.2554171027 	0.2554171027 	2.581e-01 	
