num       tox                 	h0         	stress vth value	 stress ids value 	aged vth value 	   aged ids value 
1415 	5.5e-09  	65167.12872 	466.826 mV             	3.18282 mA      	641.902 mV        	2.65331 mA   
563 	5.5e-09  	65275.63166 	466.826 mV             	3.18282 mA      	641.837 mV        	2.65356 mA   
675 	5.5e-09  	65446.5127 	466.826 mV             	3.18282 mA      	641.736 mV        	2.65395 mA   
1781 	5.5e-09  	65467.96046 	466.826 mV             	3.18282 mA      	641.723 mV        	2.654 mA   
1571 	5.5e-09  	65518.28014 	466.826 mV             	3.18282 mA      	641.693 mV        	2.65412 mA   
564 	5.5e-09  	65535.06465 	466.826 mV             	3.18282 mA      	641.683 mV        	2.65415 mA   
237 	5.5e-09  	65579.06121 	466.826 mV             	3.18282 mA      	641.657 mV        	2.65425 mA   
524 	5.5e-09  	65605.83167 	466.826 mV             	3.18282 mA      	641.641 mV        	2.65432 mA   
1174 	5.5e-09  	65657.18067 	466.826 mV             	3.18282 mA      	641.611 mV        	2.65443 mA   
1320 	5.5e-09  	65766.68028 	466.826 mV             	3.18282 mA      	641.546 mV        	2.65468 mA   
407 	5.5e-09  	65743.81272 	466.826 mV             	3.18282 mA      	641.559 mV        	2.65463 mA   
1067 	5.5e-09  	65769.52661 	466.826 mV             	3.18282 mA      	641.544 mV        	2.65469 mA   
1634 	5.5e-09  	65791.76826 	466.826 mV             	3.18282 mA      	641.531 mV        	2.65474 mA   
586 	5.5e-09  	65917.24394 	466.826 mV             	3.18282 mA      	641.457 mV        	2.65502 mA   
629 	5.5e-09  	65999.22201 	466.826 mV             	3.18282 mA      	641.409 mV        	2.65521 mA   
255 	5.5e-09  	65835.1744 	466.826 mV             	3.18282 mA      	641.506 mV        	2.65484 mA   
442 	5.5e-09  	66032.23373 	466.826 mV             	3.18282 mA      	641.389 mV        	2.65528 mA   
542 	5.5e-09  	66181.47359 	466.826 mV             	3.18282 mA      	641.302 mV        	2.65562 mA   
607 	5.5e-09  	66285.80316 	466.826 mV             	3.18282 mA      	641.241 mV        	2.65585 mA   
881 	5.5e-09  	66306.52837 	466.826 mV             	3.18282 mA      	641.229 mV        	2.6559 mA   
733 	5.5e-09  	66326.91693 	466.826 mV             	3.18282 mA      	641.217 mV        	2.65594 mA   
1044 	5.5e-09  	66215.02558 	466.826 mV             	3.18282 mA      	641.282 mV        	2.65569 mA   
935 	5.5e-09  	66361.49796 	466.826 mV             	3.18282 mA      	641.196 mV        	2.65602 mA   
654 	5.5e-09  	66422.08488 	466.826 mV             	3.18282 mA      	641.161 mV        	2.65616 mA   
1564 	5.5e-09  	66424.9129 	466.826 mV             	3.18282 mA      	641.159 mV        	2.65616 mA   
794 	5.5e-09  	66424.98554 	466.826 mV             	3.18282 mA      	641.159 mV        	2.65616 mA   
59 	5.5e-09  	66447.38421 	466.826 mV             	3.18282 mA      	641.146 mV        	2.65621 mA   
465 	5.5e-09  	66442.12231 	466.826 mV             	3.18282 mA      	641.149 mV        	2.6562 mA   
1545 	5.5e-09  	66567.66418 	466.826 mV             	3.18282 mA      	641.076 mV        	2.65648 mA   
489 	5.5e-09  	66471.9024 	466.826 mV             	3.18282 mA      	641.132 mV        	2.65627 mA   
719 	5.5e-09  	66581.67655 	466.826 mV             	3.18282 mA      	641.068 mV        	2.65651 mA   
1994 	5.5e-09  	66711.89315 	466.826 mV             	3.18282 mA      	640.992 mV        	2.6568 mA   
319 	5.5e-09  	66842.81715 	466.826 mV             	3.18282 mA      	640.916 mV        	2.6571 mA   
741 	5.5e-09  	66686.93187 	466.826 mV             	3.18282 mA      	641.007 mV        	2.65675 mA   
1471 	5.5e-09  	66758.67162 	466.826 mV             	3.18282 mA      	640.965 mV        	2.65691 mA   
752 	5.5e-09  	66858.50742 	466.826 mV             	3.18282 mA      	640.907 mV        	2.65713 mA   
1282 	5.5e-09  	66868.81342 	466.826 mV             	3.18282 mA      	640.901 mV        	2.65715 mA   
17 	5.5e-09  	66870.72515 	466.826 mV             	3.18282 mA      	640.9 mV        	2.65716 mA   
1296 	5.5e-09  	67019.31572 	466.826 mV             	3.18282 mA      	640.814 mV        	2.65749 mA   
134 	5.5e-09  	66916.06188 	466.826 mV             	3.18282 mA      	640.874 mV        	2.65726 mA   
1563 	5.5e-09  	67045.53845 	466.826 mV             	3.18282 mA      	640.799 mV        	2.65754 mA   
856 	5.5e-09  	67069.30991 	466.826 mV             	3.18282 mA      	640.785 mV        	2.6576 mA   
1975 	5.5e-09  	67098.79628 	466.826 mV             	3.18282 mA      	640.768 mV        	2.65766 mA   
1344 	5.5e-09  	67128.20573 	466.826 mV             	3.18282 mA      	640.751 mV        	2.65773 mA   
1946 	5.5e-09  	67181.77653 	466.826 mV             	3.18282 mA      	640.72 mV        	2.65785 mA   
