num 	tox 	h0 	age_value 
989 	5.5e-09 	70681.41134 	5.872285e-03 	
1477 	5.5e-09 	70687.1375 	5.871809e-03 	
1130 	5.5e-09 	70736.52763 	5.867709e-03 	
1453 	5.5e-09 	70771.67653 	5.864795e-03 	
210 	5.5e-09 	70710.92333 	5.869834e-03 	
316 	5.5e-09 	70790.95232 	5.863198e-03 	
1997 	5.5e-09 	70797.05629 	5.862693e-03 	
1738 	5.5e-09 	70800.96356 	5.862369e-03 	
946 	5.5e-09 	70808.28243 	5.861763e-03 	
1365 	5.5e-09 	70835.68178 	5.859496e-03 	
1712 	5.5e-09 	70881.80712 	5.855683e-03 	
507 	5.5e-09 	70946.63369 	5.850332e-03 	
1719 	5.5e-09 	70970.90752 	5.848331e-03 	
1886 	5.5e-09 	70951.78776 	5.849907e-03 	
600 	5.5e-09 	70971.86479 	5.848252e-03 	
1907 	5.5e-09 	70973.65475 	5.848105e-03 	
945 	5.5e-09 	70987.5413 	5.846961e-03 	
1828 	5.5e-09 	70994.09084 	5.846421e-03 	
1864 	5.5e-09 	71069.70983 	5.840201e-03 	
1082 	5.5e-09 	71079.32105 	5.839411e-03 	
1846 	5.5e-09 	71116.26684 	5.836377e-03 	
779 	5.5e-09 	71147.82576 	5.833789e-03 	
1011 	5.5e-09 	71161.86845 	5.832637e-03 	
770 	5.5e-09 	71249.60761 	5.825455e-03 	
626 	5.5e-09 	71261.48338 	5.824484e-03 	
1931 	5.5e-09 	71269.19766 	5.823854e-03 	
1697 	5.5e-09 	71282.86234 	5.822737e-03 	
1519 	5.5e-09 	71309.85777 	5.820533e-03 	
340 	5.5e-09 	71391.69713 	5.813861e-03 	
1958 	5.5e-09 	71360.79829 	5.816378e-03 	
1819 	5.5e-09 	71400.02852 	5.813182e-03 	
428 	5.5e-09 	71441.35361 	5.809820e-03 	
1760 	5.5e-09 	71444.86477 	5.809534e-03 	
1998 	5.5e-09 	71454.09801 	5.808783e-03 	
392 	5.5e-09 	71456.76673 	5.808566e-03 	
1393 	5.5e-09 	71496.6713 	5.805324e-03 	
846 	5.5e-09 	71520.17378 	5.803417e-03 	
950 	5.5e-09 	71531.46575 	5.802501e-03 	
932 	5.5e-09 	71561.78218 	5.800042e-03 	
537 	5.5e-09 	71568.77096 	5.799476e-03 	
1239 	5.5e-09 	71573.1092 	5.799125e-03 	
1885 	5.5e-09 	71649.91652 	5.792908e-03 	
1468 	5.5e-09 	71592.70325 	5.797537e-03 	
446 	5.5e-09 	71638.87597 	5.793801e-03 	
860 	5.5e-09 	71670.60628 	5.791236e-03 	
729 	5.5e-09 	71800.42991 	5.780764e-03 	
101 	5.5e-09 	71801.59299 	5.780671e-03 	
1194 	5.5e-09 	71841.04439 	5.777496e-03 	
1342 	5.5e-09 	71900.38841 	5.772728e-03 	
1362 	5.5e-09 	71803.87026 	5.780487e-03 	
1478 	5.5e-09 	71901.92073 	5.772605e-03 	
1935 	5.5e-09 	71907.39012 	5.772166e-03 	
1957 	5.5e-09 	71944.62167 	5.769179e-03 	
1348 	5.5e-09 	71962.96249 	5.767708e-03 	
325 	5.5e-09 	72010.75287 	5.763880e-03 	
783 	5.5e-09 	72030.83263 	5.762274e-03 	
1180 	5.5e-09 	72050.99391 	5.760661e-03 	
806 	5.5e-09 	72061.30099 	5.759837e-03 	
199 	5.5e-09 	72125.50388 	5.754710e-03 	
1306 	5.5e-09 	72134.29781 	5.754009e-03 	
1568 	5.5e-09 	72140.15174 	5.753542e-03 	
959 	5.5e-09 	72183.94436 	5.750051e-03 	
990 	5.5e-09 	72159.90528 	5.751967e-03 	
0 	5.5e-09 	72185.60638 	5.749919e-03 	
14 	5.5e-09 	72214.61628 	5.747609e-03 	
1324 	5.5e-09 	72193.59228 	5.749283e-03 	
1361 	5.5e-09 	72220.24842 	5.747161e-03 	
1936 	5.5e-09 	72224.37583 	5.746832e-03 	
923 	5.5e-09 	72225.40559 	5.746750e-03 	
367 	5.5e-09 	72234.65087 	5.746015e-03 	
326 	5.5e-09 	72277.42206 	5.742615e-03 	
1575 	5.5e-09 	72305.93986 	5.740350e-03 	
1707 	5.5e-09 	72311.95451 	5.739872e-03 	
469 	5.5e-09 	72402.43995 	5.732699e-03 	
1558 	5.5e-09 	72412.58624 	5.731895e-03 	
403 	5.5e-09 	72430.09637 	5.730510e-03 	
567 	5.5e-09 	72438.58687 	5.729838e-03 	
518 	5.5e-09 	72449.39064 	5.728984e-03 	
867 	5.5e-09 	72475.70287 	5.726904e-03 	
1411 	5.5e-09 	72534.81345 	5.722237e-03 	
1784 	5.5e-09 	72532.30192 	5.722435e-03 	
873 	5.5e-09 	72524.73997 	5.723032e-03 	
79 	5.5e-09 	72557.38595 	5.720457e-03 	
1208 	5.5e-09 	72609.60212 	5.716343e-03 	
513 	5.5e-09 	72586.55647 	5.718158e-03 	
690 	5.5e-09 	72625.66004 	5.715079e-03 	
87 	5.5e-09 	72644.86256 	5.713568e-03 	
1492 	5.5e-09 	72742.39844 	5.705907e-03 	
1403 	5.5e-09 	72683.97878 	5.710493e-03 	
302 	5.5e-09 	72747.86356 	5.705479e-03 	
445 	5.5e-09 	72756.67342 	5.704788e-03 	
363 	5.5e-09 	72770.54155 	5.703700e-03 	
66 	5.5e-09 	72789.23424 	5.702236e-03 	
251 	5.5e-09 	72803.88682 	5.701088e-03 	
699 	5.5e-09 	72824.89737 	5.699443e-03 	
1337 	5.5e-09 	72827.28847 	5.699256e-03 	
1799 	5.5e-09 	72831.51121 	5.698926e-03 	
1217 	5.5e-09 	72867.18634 	5.696136e-03 	
56 	5.5e-09 	72856.01241 	5.697009e-03 	
1273 	5.5e-09 	72876.86665 	5.695379e-03 	
801 	5.5e-09 	72877.98128 	5.695292e-03 	
845 	5.5e-09 	72919.08593 	5.692081e-03 	
712 	5.5e-09 	72925.57467 	5.691575e-03 	
65 	5.5e-09 	72926.71398 	5.691486e-03 	
730 	5.5e-09 	72961.10815 	5.688803e-03 	
1972 	5.5e-09 	73112.35713 	5.677034e-03 	
949 	5.5e-09 	73073.7109 	5.680037e-03 	
448 	5.5e-09 	73041.85241 	5.682514e-03 	
301 	5.5e-09 	73053.02656 	5.681645e-03 	
424 	5.5e-09 	73125.84496 	5.675987e-03 	
179 	5.5e-09 	73180.13554 	5.671776e-03 	
1868 	5.5e-09 	73186.83478 	5.671257e-03 	
1586 	5.5e-09 	73287.27267 	5.663485e-03 	
1193 	5.5e-09 	73326.84524 	5.660429e-03 	
1684 	5.5e-09 	73366.57794 	5.657363e-03 	
1661 	5.5e-09 	73443.5374 	5.651435e-03 	
527 	5.5e-09 	73457.67109 	5.650348e-03 	
140 	5.5e-09 	73505.37103 	5.646681e-03 	
716 	5.5e-09 	73499.65333 	5.647120e-03 	
1232 	5.5e-09 	73548.43065 	5.643375e-03 	
470 	5.5e-09 	73514.07177 	5.646013e-03 	
70 	5.5e-09 	73566.58793 	5.641982e-03 	
1338 	5.5e-09 	73556.36914 	5.642766e-03 	
1810 	5.5e-09 	73608.67037 	5.638757e-03 	
1187 	5.5e-09 	73611.61144 	5.638531e-03 	
791 	5.5e-09 	73656.7203 	5.635078e-03 	
1141 	5.5e-09 	73653.32838 	5.635338e-03 	
41 	5.5e-09 	73662.20924 	5.634658e-03 	
42 	5.5e-09 	73662.99269 	5.634598e-03 	
621 	5.5e-09 	73671.16107 	5.633974e-03 	
842 	5.5e-09 	73697.4726 	5.631962e-03 	
1813 	5.5e-09 	73705.96248 	5.631313e-03 	
1138 	5.5e-09 	73784.51694 	5.625318e-03 	
80 	5.5e-09 	73735.66981 	5.629045e-03 	
1589 	5.5e-09 	73826.27628 	5.622136e-03 	
644 	5.5e-09 	73825.11061 	5.622225e-03 	
1625 	5.5e-09 	73831.53293 	5.621736e-03 	
1170 	5.5e-09 	73818.76705 	5.622708e-03 	
